,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,viol_constr,perc_usage
67,67,17.0,-107.31370849898477,628.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
67,67,17.0,-107.31370849898477,628.0,s2,628,36.94117647058823,-107.31370849898477,-6.3125710881755746,17,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
68,68,14.0,-95.31370849898477,594.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
68,68,14.0,-95.31370849898477,594.0,s2,594,42.42857142857143,-95.31370849898477,-6.808122035641769,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
69,69,16.0,-107.31370849898477,630.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
69,69,16.0,-107.31370849898477,630.0,s2,630,39.375,-107.31370849898477,-6.707106781186548,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
70,70,17.0,-112.97056274847715,618.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
70,70,17.0,-112.97056274847715,618.0,s2,618,36.35294117647059,-112.97056274847715,-6.645327220498656,17,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
71,71,13.0,-91.31370849898477,367.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
71,71,13.0,-91.31370849898477,367.0,s2,367,28.23076923076923,-91.31370849898477,-7.0241314229988285,13,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
72,72,14.0,-97.65685424949238,396.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
72,72,14.0,-97.65685424949238,396.0,s2,396,28.285714285714285,-97.65685424949238,-6.975489589249456,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
73,73,38.0,-198.6274169979695,1082.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
