,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
50,50,19.0,-691.5979797464466,12.0,s1,12,0.631578947368421,-691.5979797464466,-36.399893670865616,19,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
50,50,19.0,-691.5979797464466,12.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
51,51,18.0,-685.9411254969543,11.0,s1,11,0.6111111111111112,-685.9411254969543,-38.107840305386354,18,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
51,51,18.0,-685.9411254969543,11.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
52,52,69.0,-2177.362481734264,64.0,s1,64,0.927536231884058,-2177.362481734264,-31.55597799614875,69,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
52,52,69.0,-2177.362481734264,64.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
53,53,25.0,-902.9116882454314,25.0,s1,25,1.0,-902.9116882454314,-36.11646752981726,25,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
53,53,25.0,-902.9116882454314,25.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
54,54,60.0,-1993.4213562373095,53.0,s1,53,0.8833333333333333,-1993.4213562373095,-33.223689270621826,60,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
54,54,60.0,-1993.4213562373095,53.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
55,55,35.0,-1136.8528137423857,33.0,s1,33,0.9428571428571428,-1136.8528137423857,-32.48150896406816,35,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
55,55,35.0,-1136.8528137423857,33.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
56,56,16.0,-589.9411254969543,10.0,s1,10,0.625,-589.9411254969543,-36.871320343559645,16,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
56,56,16.0,-589.9411254969543,10.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
57,57,21.0,-699.5979797464468,14.0,s1,14,0.6666666666666666,-699.5979797464468,-33.31418951173556,21,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
57,57,21.0,-699.5979797464468,14.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
58,58,27.0,-918.2253967444162,23.0,s1,23,0.8518518518518519,-918.2253967444162,-34.008348027570975,27,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
58,58,27.0,-918.2253967444162,23.0,s2,0,,0.0,,0,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,0.0
59,59,53.0,-1645.7645019878173,44.0,s1,44,0.8301886792452831,-1645.7645019878173,-31.052160414864478,53,S1 noMyopic,43.432,-1556.9036425900322,28.96,1.0,200,0.8,0,0,1,0.5,1.0
