,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
46,46,44.0,-978.048773235279,14.0,s1,14,0.3181818181818182,-978.048773235279,-22.228381209892703,44,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
46,46,44.0,-978.048773235279,14.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
47,47,158.0,-1800.9890321804564,83.0,s1,83,0.5253164556962026,-1800.9890321804564,-11.3986647606358,158,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
47,47,158.0,-1800.9890321804564,83.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
48,48,183.0,-2176.8124086713196,85.0,s1,85,0.4644808743169399,-2176.8124086713196,-11.895149774160217,183,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
48,48,183.0,-2176.8124086713196,85.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
49,49,67.0,-1472.2741699796952,29.0,s1,29,0.43283582089552236,-1472.2741699796952,-21.974241342980527,67,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
49,49,67.0,-1472.2741699796952,29.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
50,50,154.0,-1915.3910524340097,96.0,s1,96,0.6233766233766234,-1915.3910524340097,-12.437604236584479,154,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
50,50,154.0,-1915.3910524340097,96.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
51,51,78.0,-1396.0975464705582,31.0,s1,31,0.3974358974358974,-1396.0975464705582,-17.898686493212285,78,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
51,51,78.0,-1396.0975464705582,31.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
