,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
31,31,201.0,-812.2842712474619,208,s1,208,1.0348258706467661,-812.2842712474619,-4.041215279838119,201,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
31,31,201.0,-812.2842712474619,208,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
32,32,20.0,-171.65685424949237,13,s1,13,0.65,-171.65685424949237,-8.58284271247462,20,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
32,32,20.0,-171.65685424949237,13,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
33,33,42.0,-162.97056274847716,37,s1,37,0.8809523809523809,-162.97056274847716,-3.880251494011361,42,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
33,33,42.0,-162.97056274847716,37,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
34,34,38.0,-193.65685424949237,31,s1,31,0.8157894736842105,-193.65685424949237,-5.096233006565589,38,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
34,34,38.0,-193.65685424949237,31,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
35,35,201.0,-807.3137084989847,203,s1,203,1.0099502487562189,-807.3137084989847,-4.016486111935247,201,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
35,35,201.0,-807.3137084989847,203,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
36,36,201.0,-810.6274169979695,202,s1,202,1.0049751243781095,-810.6274169979695,-4.032972223870495,201,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
36,36,201.0,-810.6274169979695,202,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
37,37,90.0,-351.65685424949237,50,s1,50,0.5555555555555556,-351.65685424949237,-3.907298380549915,90,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
37,37,90.0,-351.65685424949237,50,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
38,38,201.0,-804.0,208,s1,208,1.0348258706467661,-804.0,-4.0,201,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
38,38,201.0,-804.0,208,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
39,39,46.0,-230.6274169979695,37,s1,37,0.8043478260869565,-230.6274169979695,-5.0136394999558584,46,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
39,39,46.0,-230.6274169979695,37,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
40,40,28.0,-176.8528137423857,24,s1,24,0.8571428571428571,-176.8528137423857,-6.316171919370918,28,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
40,40,28.0,-176.8528137423857,24,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
41,41,201.0,-807.3137084989847,205,s1,205,1.0199004975124377,-807.3137084989847,-4.016486111935247,201,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
41,41,201.0,-807.3137084989847,205,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
42,42,105.0,-513.3137084989847,97,s1,97,0.9238095238095239,-513.3137084989847,-4.888701985704617,105,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
42,42,105.0,-513.3137084989847,97,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
43,43,18.0,-161.31370849898477,15,s1,15,0.8333333333333334,-161.31370849898477,-8.961872694388042,18,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
43,43,18.0,-161.31370849898477,15,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
44,44,70.0,-2920.284271247462,26,s1,26,0.37142857142857144,-2920.284271247462,-41.7183467321066,70,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
44,44,70.0,-2920.284271247462,26,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
45,45,201.0,-807.3137084989847,204,s1,204,1.0149253731343284,-807.3137084989847,-4.016486111935247,201,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
45,45,201.0,-807.3137084989847,204,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
46,46,178.0,-755.3137084989847,160,s1,160,0.898876404494382,-755.3137084989847,-4.243335441005533,178,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
46,46,178.0,-755.3137084989847,160,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
47,47,47.0,-179.65685424949237,45,s1,45,0.9574468085106383,-179.65685424949237,-3.8224862606274974,47,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
47,47,47.0,-179.65685424949237,45,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
48,48,65.0,-356.6274169979695,53,s1,53,0.8153846153846154,-356.6274169979695,-5.486575646122607,65,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
48,48,65.0,-356.6274169979695,53,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
49,49,201.0,-808.9705627484772,227,s1,227,1.1293532338308458,-808.9705627484772,-4.024729167902872,201,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
49,49,201.0,-808.9705627484772,227,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
50,50,46.0,-225.65685424949237,42,s1,42,0.9130434782608695,-225.65685424949237,-4.905583788032443,46,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
50,50,46.0,-225.65685424949237,42,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
51,51,135.0,-4874.391918985787,115,s1,115,0.8518518518518519,-4874.391918985787,-36.10660680730213,135,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
51,51,135.0,-4874.391918985787,115,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
52,52,89.0,-349.31370849898474,76,s1,76,0.8539325842696629,-349.31370849898474,-3.9248731292020755,89,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
52,52,89.0,-349.31370849898474,76,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
53,53,127.0,-652.9705627484772,72,s1,72,0.5669291338582677,-652.9705627484772,-5.141500494082497,127,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
53,53,127.0,-652.9705627484772,72,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
54,54,92.0,-358.0,89,s1,89,0.967391304347826,-358.0,-3.891304347826087,92,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
54,54,92.0,-358.0,89,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
55,55,132.0,-568.0,131,s1,131,0.9924242424242424,-568.0,-4.303030303030303,132,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
55,55,132.0,-568.0,131,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
56,56,141.0,-808.2842712474619,132,s1,132,0.9361702127659575,-808.2842712474619,-5.732512562038737,141,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
56,56,141.0,-808.2842712474619,132,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
